              1,ARSON                                                                                               ,       860
              1,ASSAULT                                                                                             ,     10505
              1,BATTERY                                                                                             ,     56220
              1,BURGLARY                                                                                            ,      8372
              1,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        32
              1,CRIM SEXUAL ASSAULT                                                                                 ,      1536
              1,CRIMINAL DAMAGE                                                                                     ,     31139
              1,CRIMINAL SEXUAL ASSAULT                                                                             ,        28
              1,CRIMINAL TRESPASS                                                                                   ,      4819
              1,DECEPTIVE PRACTICE                                                                                  ,      3609
              1,GAMBLING                                                                                            ,       161
              1,HOMICIDE                                                                                            ,       628
              1,HUMAN TRAFFICKING                                                                                   ,         1
              1,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       806
              1,INTIMIDATION                                                                                        ,        54
              1,KIDNAPPING                                                                                          ,        90
              1,LIQUOR LAW VIOLATION                                                                                ,       659
              1,MOTOR VEHICLE THEFT                                                                                 ,     10015
              1,NARCOTICS                                                                                           ,     13356
              1,NON-CRIMINAL                                                                                        ,         1
              1,NON-CRIMINAL (SUBJECT SPECIFIED)                                                                    ,         1
              1,OBSCENITY                                                                                           ,        11
              1,OFFENSE INVOLVING CHILDREN                                                                          ,       663
              1,OTHER NARCOTIC VIOLATION                                                                            ,         7
              1,OTHER OFFENSE                                                                                       ,      9966
              1,PROSTITUTION                                                                                        ,      1938
              1,PUBLIC INDECENCY                                                                                    ,        13
              1,PUBLIC PEACE VIOLATION                                                                              ,      1342
              1,ROBBERY                                                                                             ,     11674
              1,SEX OFFENSE                                                                                         ,       659
              1,STALKING                                                                                            ,        90
              1,THEFT                                                                                               ,     30993
              1,WEAPONS VIOLATION                                                                                   ,      3278
              2,ARSON                                                                                               ,       830
              2,ASSAULT                                                                                             ,      8636
              2,BATTERY                                                                                             ,     50396
              2,BURGLARY                                                                                            ,      7798
              2,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        27
              2,CRIM SEXUAL ASSAULT                                                                                 ,      1635
              2,CRIMINAL DAMAGE                                                                                     ,     26907
              2,CRIMINAL SEXUAL ASSAULT                                                                             ,        29
              2,CRIMINAL TRESPASS                                                                                   ,      3949
              2,DECEPTIVE PRACTICE                                                                                  ,      3273
              2,GAMBLING                                                                                            ,        85
              2,HOMICIDE                                                                                            ,       588
              2,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       633
              2,INTIMIDATION                                                                                        ,        50
              2,KIDNAPPING                                                                                          ,        72
              2,LIQUOR LAW VIOLATION                                                                                ,       512
              2,MOTOR VEHICLE THEFT                                                                                 ,      8163
              2,NARCOTICS                                                                                           ,      8365
              2,NON-CRIMINAL                                                                                        ,         2
              2,OBSCENITY                                                                                           ,         6
              2,OFFENSE INVOLVING CHILDREN                                                                          ,       431
              2,OTHER NARCOTIC VIOLATION                                                                            ,         1
              2,OTHER OFFENSE                                                                                       ,      8032
              2,PROSTITUTION                                                                                        ,      1571
              2,PUBLIC INDECENCY                                                                                    ,         3
              2,PUBLIC PEACE VIOLATION                                                                              ,      1071
              2,ROBBERY                                                                                             ,     10527
              2,SEX OFFENSE                                                                                         ,       557
              2,STALKING                                                                                            ,        54
              2,THEFT                                                                                               ,     24907
              2,WEAPONS VIOLATION                                                                                   ,      2260
              3,ARSON                                                                                               ,       778
              3,ASSAULT                                                                                             ,      6400
              3,BATTERY                                                                                             ,     40957
              3,BURGLARY                                                                                            ,      7447
              3,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        19
              3,CRIM SEXUAL ASSAULT                                                                                 ,      1542
              3,CRIMINAL DAMAGE                                                                                     ,     22452
              3,CRIMINAL SEXUAL ASSAULT                                                                             ,        34
              3,CRIMINAL TRESPASS                                                                                   ,      3119
              3,DECEPTIVE PRACTICE                                                                                  ,      2850
              3,GAMBLING                                                                                            ,        45
              3,HOMICIDE                                                                                            ,       465
              3,HUMAN TRAFFICKING                                                                                   ,         1
              3,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       387
              3,INTIMIDATION                                                                                        ,        24
              3,KIDNAPPING                                                                                          ,        60
              3,LIQUOR LAW VIOLATION                                                                                ,       310
              3,MOTOR VEHICLE THEFT                                                                                 ,      6489
              3,NARCOTICS                                                                                           ,      5490
              3,NON-CRIMINAL                                                                                        ,         2
              3,OBSCENITY                                                                                           ,        11
              3,OFFENSE INVOLVING CHILDREN                                                                          ,       368
              3,OTHER NARCOTIC VIOLATION                                                                            ,         1
              3,OTHER OFFENSE                                                                                       ,      6052
              3,PROSTITUTION                                                                                        ,      1165
              3,PUBLIC PEACE VIOLATION                                                                              ,       698
              3,ROBBERY                                                                                             ,      9035
              3,SEX OFFENSE                                                                                         ,       589
              3,STALKING                                                                                            ,        48
              3,THEFT                                                                                               ,     20116
              3,WEAPONS VIOLATION                                                                                   ,      1544
              4,ARSON                                                                                               ,       717
              4,ASSAULT                                                                                             ,      4697
              4,BATTERY                                                                                             ,     28774
              4,BURGLARY                                                                                            ,      7162
              4,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        11
              4,CRIM SEXUAL ASSAULT                                                                                 ,      1257
              4,CRIMINAL DAMAGE                                                                                     ,     17503
              4,CRIMINAL SEXUAL ASSAULT                                                                             ,        22
              4,CRIMINAL TRESPASS                                                                                   ,      2506
              4,DECEPTIVE PRACTICE                                                                                  ,      2138
              4,GAMBLING                                                                                            ,        26
              4,HOMICIDE                                                                                            ,       393
              4,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       266
              4,INTIMIDATION                                                                                        ,        31
              4,KIDNAPPING                                                                                          ,        56
              4,LIQUOR LAW VIOLATION                                                                                ,       142
              4,MOTOR VEHICLE THEFT                                                                                 ,      5336
              4,NARCOTICS                                                                                           ,      3377
              4,NON-CRIMINAL                                                                                        ,         1
              4,OBSCENITY                                                                                           ,         6
              4,OFFENSE INVOLVING CHILDREN                                                                          ,       248
              4,OTHER NARCOTIC VIOLATION                                                                            ,         1
              4,OTHER OFFENSE                                                                                       ,      4567
              4,PROSTITUTION                                                                                        ,       667
              4,PUBLIC INDECENCY                                                                                    ,         3
              4,PUBLIC PEACE VIOLATION                                                                              ,       471
              4,ROBBERY                                                                                             ,      7341
              4,SEX OFFENSE                                                                                         ,       444
              4,STALKING                                                                                            ,        45
              4,THEFT                                                                                               ,     15223
              4,WEAPONS VIOLATION                                                                                   ,      1012
              5,ARSON                                                                                               ,       549
              5,ASSAULT                                                                                             ,      3872
              5,BATTERY                                                                                             ,     19721
              5,BURGLARY                                                                                            ,      8374
              5,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        20
              5,CRIM SEXUAL ASSAULT                                                                                 ,       884
              5,CRIMINAL DAMAGE                                                                                     ,     14134
              5,CRIMINAL SEXUAL ASSAULT                                                                             ,        19
              5,CRIMINAL TRESPASS                                                                                   ,      2211
              5,DECEPTIVE PRACTICE                                                                                  ,      1673
              5,GAMBLING                                                                                            ,        12
              5,HOMICIDE                                                                                            ,       325
              5,HUMAN TRAFFICKING                                                                                   ,         1
              5,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,        96
              5,INTIMIDATION                                                                                        ,        22
              5,KIDNAPPING                                                                                          ,        39
              5,LIQUOR LAW VIOLATION                                                                                ,        44
              5,MOTOR VEHICLE THEFT                                                                                 ,      5914
              5,NARCOTICS                                                                                           ,      1620
              5,OBSCENITY                                                                                           ,         7
              5,OFFENSE INVOLVING CHILDREN                                                                          ,       299
              5,OTHER OFFENSE                                                                                       ,      4357
              5,PROSTITUTION                                                                                        ,      1256
              5,PUBLIC INDECENCY                                                                                    ,         1
