ABANDONED BUILDING                                          ,              1,       182
ABANDONED BUILDING                                          ,              2,       144
ABANDONED BUILDING                                          ,              3,       107
ABANDONED BUILDING                                          ,              4,       102
ABANDONED BUILDING                                          ,              5,        80
ABANDONED BUILDING                                          ,              6,       138
ABANDONED BUILDING                                          ,              7,       182
ABANDONED BUILDING                                          ,              8,       328
ABANDONED BUILDING                                          ,              9,       590
ABANDONED BUILDING                                          ,             10,       720
ABANDONED BUILDING                                          ,             11,       763
ABANDONED BUILDING                                          ,             12,       438
ABANDONED BUILDING                                          ,             13,       675
ABANDONED BUILDING                                          ,             14,       677
ABANDONED BUILDING                                          ,             15,       749
ABANDONED BUILDING                                          ,             16,       681
ABANDONED BUILDING                                          ,             17,       588
ABANDONED BUILDING                                          ,             18,       534
ABANDONED BUILDING                                          ,             19,       619
ABANDONED BUILDING                                          ,             20,       471
ABANDONED BUILDING                                          ,             21,       400
ABANDONED BUILDING                                          ,             22,       352
ABANDONED BUILDING                                          ,             23,       302
ABANDONED BUILDING                                          ,             24,       964
AIRCRAFT                                                    ,              1,         6
AIRCRAFT                                                    ,              2,         8
AIRCRAFT                                                    ,              3,         8
AIRCRAFT                                                    ,              4,         5
AIRCRAFT                                                    ,              5,         8
AIRCRAFT                                                    ,              6,        19
AIRCRAFT                                                    ,              7,        18
AIRCRAFT                                                    ,              8,        24
AIRCRAFT                                                    ,              9,        19
AIRCRAFT                                                    ,             10,        25
AIRCRAFT                                                    ,             11,        27
AIRCRAFT                                                    ,             12,        22
AIRCRAFT                                                    ,             13,        31
AIRCRAFT                                                    ,             14,        36
AIRCRAFT                                                    ,             15,        40
AIRCRAFT                                                    ,             16,        39
AIRCRAFT                                                    ,             17,        31
AIRCRAFT                                                    ,             18,        55
AIRCRAFT                                                    ,             19,        64
AIRCRAFT                                                    ,             20,        52
AIRCRAFT                                                    ,             21,        31
AIRCRAFT                                                    ,             22,        38
AIRCRAFT                                                    ,             23,        25
AIRCRAFT                                                    ,             24,        40
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,              1,        17
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,              2,        19
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,              3,        18
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,              4,        14
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,              5,        27
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,              6,        32
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,              7,        35
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,              8,        47
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,              9,        62
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             10,        45
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             11,        48
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             12,        44
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             13,        51
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             14,        46
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             15,        55
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             16,        70
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             17,        50
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             18,        41
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             19,        29
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             20,        55
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             21,        36
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             22,        31
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             23,        34
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA             ,             24,        63
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,              1,        10
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,              2,         3
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,              3,         8
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,              4,        14
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,              5,        13
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,              6,        28
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,              7,        30
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,              8,        33
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,              9,        20
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             10,        29
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             11,        35
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             12,        20
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             13,        33
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             14,        48
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             15,        40
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             16,        32
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             17,        36
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             18,        29
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             19,        32
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             20,        21
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             21,        28
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             22,        17
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             23,        14
AIRPORT BUILDING NON-TERMINAL - SECURE AREA                 ,             24,        36
AIRPORT EXTERIOR - NON-SECURE AREA                          ,              1,        22
AIRPORT EXTERIOR - NON-SECURE AREA                          ,              2,        12
AIRPORT EXTERIOR - NON-SECURE AREA                          ,              3,         6
AIRPORT EXTERIOR - NON-SECURE AREA                          ,              4,        17
AIRPORT EXTERIOR - NON-SECURE AREA                          ,              5,        16
AIRPORT EXTERIOR - NON-SECURE AREA                          ,              6,        27
AIRPORT EXTERIOR - NON-SECURE AREA                          ,              7,        24
AIRPORT EXTERIOR - NON-SECURE AREA                          ,              8,        28
AIRPORT EXTERIOR - NON-SECURE AREA                          ,              9,        34
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             10,        31
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             11,        33
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             12,        42
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             13,        31
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             14,        52
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             15,        54
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             16,        60
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             17,        32
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             18,        45
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             19,        41
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             20,        43
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             21,        46
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             22,        38
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             23,        29
AIRPORT EXTERIOR - NON-SECURE AREA                          ,             24,        62
AIRPORT EXTERIOR - SECURE AREA                              ,              1,         4
AIRPORT EXTERIOR - SECURE AREA                              ,              2,         6
AIRPORT EXTERIOR - SECURE AREA                              ,              3,         4
AIRPORT EXTERIOR - SECURE AREA                              ,              4,         7
AIRPORT EXTERIOR - SECURE AREA                              ,              5,        13
AIRPORT EXTERIOR - SECURE AREA                              ,              6,         7
AIRPORT EXTERIOR - SECURE AREA                              ,              7,         9
AIRPORT EXTERIOR - SECURE AREA                              ,              8,        11
AIRPORT EXTERIOR - SECURE AREA                              ,              9,        15
AIRPORT EXTERIOR - SECURE AREA                              ,             10,         9
AIRPORT EXTERIOR - SECURE AREA                              ,             11,        13
AIRPORT EXTERIOR - SECURE AREA                              ,             12,        20
AIRPORT EXTERIOR - SECURE AREA                              ,             13,        17
AIRPORT EXTERIOR - SECURE AREA                              ,             14,        18
AIRPORT EXTERIOR - SECURE AREA                              ,             15,        24
AIRPORT EXTERIOR - SECURE AREA                              ,             16,        17
AIRPORT EXTERIOR - SECURE AREA                              ,             17,        14
AIRPORT EXTERIOR - SECURE AREA                              ,             18,        18
AIRPORT EXTERIOR - SECURE AREA                              ,             19,         9
AIRPORT EXTERIOR - SECURE AREA                              ,             20,        17
AIRPORT EXTERIOR - SECURE AREA                              ,             21,        15
AIRPORT EXTERIOR - SECURE AREA                              ,             22,        11
AIRPORT EXTERIOR - SECURE AREA                              ,             23,         4
AIRPORT EXTERIOR - SECURE AREA                              ,             24,        21
AIRPORT PARKING LOT                                         ,              1,         5
AIRPORT PARKING LOT                                         ,              2,        10
AIRPORT PARKING LOT                                         ,              3,        22
AIRPORT PARKING LOT                                         ,              4,        21
AIRPORT PARKING LOT                                         ,              5,        30
AIRPORT PARKING LOT                                         ,              6,        39
AIRPORT PARKING LOT                                         ,              7,        28
AIRPORT PARKING LOT                                         ,              8,        39
AIRPORT PARKING LOT                                         ,              9,        39
AIRPORT PARKING LOT                                         ,             10,        42
AIRPORT PARKING LOT                                         ,             11,        34
AIRPORT PARKING LOT                                         ,             12,        31
AIRPORT PARKING LOT                                         ,             13,        35
AIRPORT PARKING LOT                                         ,             14,        46
AIRPORT PARKING LOT                                         ,             15,        38
AIRPORT PARKING LOT                                         ,             16,        43
AIRPORT PARKING LOT                                         ,             17,        44
AIRPORT PARKING LOT                                         ,             18,        39
AIRPORT PARKING LOT                                         ,             19,        23
AIRPORT PARKING LOT                                         ,             20,        40
AIRPORT PARKING LOT                                         ,             21,        25
AIRPORT PARKING LOT                                         ,             22,        16
AIRPORT PARKING LOT                                         ,             23,        26
AIRPORT PARKING LOT                                         ,             24,        59
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,              1,        30
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,              2,        25
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,              3,        20
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,              4,        19
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,              5,        36
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,              6,        65
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,              7,       198
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,              8,       221
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,              9,       122
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,             10,        82
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,             11,        64
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,             12,        52
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,             13,        90
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,             14,        84
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,             15,        70
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA              ,             16,        94
