Fall      ,ARSON                                   ,      2587
Fall      ,ASSAULT                                 ,    100995
Fall      ,BATTERY                                 ,    288891
Fall      ,BURGLARY                                ,    100935
Fall      ,CONCEALED CARRY LICENSE VIOLATION       ,       151
Fall      ,CRIM SEXUAL ASSAULT                     ,      6439
Fall      ,CRIMINAL DAMAGE                         ,    190991
Fall      ,CRIMINAL SEXUAL ASSAULT                 ,        63
Fall      ,CRIMINAL TRESPASS                       ,     46363
Fall      ,DECEPTIVE PRACTICE                      ,     63459
Fall      ,GAMBLING                                ,      3538
Fall      ,HOMICIDE                                ,      2522
Fall      ,HUMAN TRAFFICKING                       ,        14
Fall      ,INTERFERENCE WITH PUBLIC OFFICER        ,      4088
Fall      ,INTIMIDATION                            ,       982
Fall      ,KIDNAPPING                              ,      1415
Fall      ,LIQUOR LAW VIOLATION                    ,      2985
Fall      ,MOTOR VEHICLE THEFT                     ,     73437
Fall      ,NARCOTICS                               ,    163153
Fall      ,NON - CRIMINAL                          ,         9
Fall      ,NON-CRIMINAL                            ,        54
Fall      ,NON-CRIMINAL (SUBJECT SPECIFIED)        ,         1
Fall      ,OBSCENITY                               ,       167
Fall      ,OFFENSE INVOLVING CHILDREN              ,     10326
Fall      ,OTHER NARCOTIC VIOLATION                ,        30
Fall      ,OTHER OFFENSE                           ,     95280
Fall      ,PROSTITUTION                            ,     15584
Fall      ,PUBLIC INDECENCY                        ,        45
Fall      ,PUBLIC PEACE VIOLATION                  ,     11927
Fall      ,RITUALISM                               ,         7
Fall      ,ROBBERY                                 ,     66485
Fall      ,SEX OFFENSE                             ,      5701
Fall      ,STALKING                                ,       850
Fall      ,THEFT                                   ,    356812
Fall      ,WEAPONS VIOLATION                       ,     18471
Spring    ,ARSON                                   ,      2674
Spring    ,ASSAULT                                 ,    106960
Spring    ,BATTERY                                 ,    307914
Spring    ,BURGLARY                                ,     83926
Spring    ,CONCEALED CARRY LICENSE VIOLATION       ,       139
Spring    ,CRIM SEXUAL ASSAULT                     ,      6081
Spring    ,CRIMINAL DAMAGE                         ,    187837
Spring    ,CRIMINAL SEXUAL ASSAULT                 ,       183
Spring    ,CRIMINAL TRESPASS                       ,     46910
Spring    ,DECEPTIVE PRACTICE                      ,     64574
Spring    ,GAMBLING                                ,      3271
Spring    ,HOMICIDE                                ,      2323
Spring    ,HUMAN TRAFFICKING                       ,        13
Spring    ,INTERFERENCE WITH PUBLIC OFFICER        ,      4190
